epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,4498.22,1.19576,0.98804,1.43337,0.71799,0.68496,0.72713,0.38937,1.92018,1.43934,2.13889,0.000173444,0.000173444,0.000173444
141,4527.89,1.21921,0.98198,1.44226,0.69261,0.70775,0.70819,0.37509,1.92438,1.38732,2.14395,0.000170692,0.000170692,0.000170692
142,4560.61,1.20393,0.99136,1.42697,0.73081,0.66841,0.72842,0.39654,1.92577,1.44275,2.16017,0.00016794,0.00016794,0.00016794
143,4589.26,1.20128,0.99295,1.43517,0.73366,0.6489,0.73278,0.38809,1.9468,1.41963,2.15141,0.000165188,0.000165188,0.000165188
144,4622.08,1.21675,0.98691,1.4329,0.7365,0.69972,0.74035,0.39206,1.94319,1.41387,2.14638,0.000162435,0.000162435,0.000162435
145,4650.78,1.20348,0.97381,1.43111,0.73515,0.69559,0.72057,0.39021,1.93352,1.39563,2.15614,0.000159683,0.000159683,0.000159683
146,4683.88,1.17681,0.98485,1.42821,0.73562,0.68995,0.73464,0.38416,1.93743,1.3992,2.19529,0.000156931,0.000156931,0.000156931
147,4712.56,1.21088,0.99254,1.43851,0.70155,0.68108,0.7118,0.38245,1.96787,1.44022,2.17633,0.000154179,0.000154179,0.000154179
148,4746.97,1.16498,0.95981,1.41319,0.82927,0.67608,0.73349,0.38564,1.94195,1.39562,2.14776,0.000151427,0.000151427,0.000151427
149,4780.7,1.2079,0.98087,1.42789,0.73542,0.70865,0.71729,0.38239,1.9606,1.45711,2.17647,0.000148674,0.000148674,0.000148674
150,4813.78,1.17745,0.96336,1.4105,0.70433,0.71769,0.72179,0.38887,1.92877,1.38391,2.14917,0.000145922,0.000145922,0.000145922
151,4844.36,1.18962,0.96522,1.42472,0.78327,0.68072,0.71784,0.38669,1.9587,1.41936,2.18771,0.00014317,0.00014317,0.00014317
152,4876.84,1.18656,0.97311,1.41466,0.80843,0.65301,0.72741,0.3808,1.97734,1.42575,2.20142,0.000140418,0.000140418,0.000140418
153,4908.12,1.19792,0.95748,1.41852,0.73401,0.67539,0.7249,0.39199,1.93612,1.40408,2.15425,0.000137666,0.000137666,0.000137666
154,4939.68,1.16347,0.96367,1.40622,0.692,0.71866,0.71793,0.3898,1.92429,1.38936,2.1343,0.000134913,0.000134913,0.000134913
155,4971.03,1.18124,0.96496,1.4166,0.70232,0.69648,0.71067,0.39065,1.9302,1.40571,2.14069,0.000132161,0.000132161,0.000132161
156,5001.67,1.1791,0.96309,1.41384,0.68725,0.73311,0.72218,0.39435,1.92845,1.41232,2.13484,0.000129409,0.000129409,0.000129409
157,5032.98,1.19109,0.96422,1.41042,0.78714,0.66497,0.71424,0.38933,1.94912,1.42953,2.15767,0.000126657,0.000126657,0.000126657
